born | C:BIRTH
birth | C:BIRTH 
was born | C:BIRTH
was born in | C:BIRTH
were born | C:BIRTH
were born to | C:BIRTH
was born to | C:BIRTH
born in | C:BIRTH
is born | C:BIRTH
was born from | C:BIRTH
dead | C:DEATH
was survived by	| C:DEATH
death | C:DEATH
died | C:DEATH
passed away | C:DEATH
passing away | C:DEATH
school | C:EDUCATION
university | C:EDUCATION
highschool | C:EDUCATION
college | C:EDUCATION
academy | C:EDUCATION
kindergarden | C:EDUCATION
nursery | C:EDUCATION
study | C:EDUCATION
studied | C:EDUCATION
studies | C:EDUCATION
attended | C:EDUCATION
speak with | C:INTERACTION
attends | C:EDUCATION
attend | C:EDUCATION
graduated from | C:EDUCATION
graduated | C:EDUCATION
owned by | C:OWNERSHIP
owned | C:OWNERSHIP
owns | C:OWNERSHIP
obtained degree | C:EDUCATION
obtained a degree | C:EDUCATION
a complaint about | C:STATEMENT
obtained the degree | C:EDUCATION
received degree | C:EDUCATION
received a degree | C:EDUCATION
received the degree | C:EDUCATION
got a degree | C:EDUCATION
got the degree | C:EDUCATION
graduated at | C:EDUCATION
graduating from | C:EDUCATION
was educated | C:EDUCATION
earned degree | C:EDUCATION
earned a degree | C:EDUCATION
enrolled in | C:EDUCATION
impressed by | C:STATEMENT
graduate | C:EDUCATION
completed at | C:EDUCATION
holds a degree | C:EDUCATION
holds degree | C:EDUCATION
student at | C:EDUCATION
awarded from | C:EDUCATION
degree from | C:EDUCATION
was admitted | C:EDUCATION
matriculated to | C:EDUCATION
obtained degree from | C:EDUCATION
majored at | C:EDUCATION
was accepted into | C:EDUCATION
was educated at | C:EDUCATION
began studying | C:EDUCATION
was educated | C:EDUCATION
received education | C:EDUCATION
gained a degree at | C:EDUCATION
gained degree at | C:EDUCATION
has continued education | C:EDUCATION
s degrees from | C:EDUCATION
pursued degree at | C:EDUCATION
obtained doctorate | C:EDUCATION
was educated | C:EDUCATION
received scholarship | C:EDUCATION
took degree in | C:EDUCATION
won scholarship from | C:EDUCATION
was awarded doctorate | C:EDUCATION
earned scholarship | C:EDUCATION
holds degrees from | C:EDUCATION
bachelors degree from | C:EDUCATION
began studies | C:EDUCATION
received masters degree from | C:EDUCATION
undergraduate work | C:EDUCATION
pursued studies | C:EDUCATION
received training | C:EDUCATION
awarded degrees from | C:EDUCATION
awarded degree from | C:EDUCATION
father | C:FAMILY
mother | C:FAMILY
son | C:FAMILY
daughter | C:FAMILY
sister | C:FAMILY
brother | C:FAMILY
cousin | C:FAMILY
parents | C:FAMILY
husband | C:FAMILY
wife | C:FAMILY
divorce | C:FAMILY
been in separation | C:FAMILY
sibling | C:FAMILY
siblings | C:FAMILY
children | C:FAMILY
grandfather | C:FAMILY
grandmother | C:FAMILY
uncle | C:FAMILY
grandparents | C:FAMILY
grandchildren | C:FAMILY
aunt | C:FAMILY
nephew | C:FAMILY
niece | C:FAMILY
father-in-law | C:FAMILY
mother-in-law | C:FAMILY
son-in-law | C:FAMILY
daughter-in-law | C:FAMILY
brother-in-law | C:FAMILY
sister-in-law | C:FAMILY
stepfather | C:FAMILY
stepmother | C:FAMILY
stepson | C:FAMILY
stepdaughter | C:FAMILY
stepsister | C:FAMILY
stepbrother | C:FAMILY
half-brother | C:FAMILY
half-sister | C:FAMILY
married | C:FAMILY
marruage | C:FAMILY
marry | C:FAMILY
widow | C:FAMILY
fathers | C:FAMILY
mothers | C:FAMILY
sons | C:FAMILY
daughters | C:FAMILY
sisters | C:FAMILY
brothers | C:FAMILY
cousins | C:FAMILY
parents | C:FAMILY
husbands | C:FAMILY
wifes | C:FAMILY
sibling | C:FAMILY
siblings | C:FAMILY
children | C:FAMILY
grandfathers | C:FAMILY
grandmothers | C:FAMILY
uncles | C:FAMILY
grandparents | C:FAMILY
grandchildren | C:FAMILY
aunts | C:FAMILY
nephews | C:FAMILY
niece | C:FAMILY
father-in-law | C:FAMILY
mother-in-law | C:FAMILY
sons-in-law | C:FAMILY
daughters-in-law | C:FAMILY
brothers-in-law | C:FAMILY
sisters-in-law | C:FAMILY
stepfathers | C:FAMILY
stepmothers | C:FAMILY
stepsons | C:FAMILY
stepdaughters | C:FAMILY
stepsisters | C:FAMILY
stepbrothers | C:FAMILY
half-brothers | C:FAMILY
half-sisters | C:FAMILY
widows | C:FAMILY
buy | C:OWNERSHIP
buys | C:OWNERSHIP
bought | C:OWNERSHIP
purchase | C:OWNERSHIP
purchased | C:OWNERSHIP
purchases | C:OWNERSHIP
acquire | C:OWNERSHIP
acquires | C:OWNERSHIP
acquired | C:OWNERSHIP
sell | C:OWNERSHIP
sold | C:OWNERSHIP
sells | C:OWNERSHIP
took control of | C:OWNERSHIP
belonged to | C:OWNERSHIP
belongs to | C:OWNERSHIP
belong to | C:OWNERSHIP
attended | C:PARTICIPATION
attends | C:PARTICIPATION
attended | C:PARTICIPATION
participate | C:PARTICIPATION
participates | C:PARTICIPATION
participated | C:PARTICIPATION
appeared at | C:PARTICIPATION
speaking at | C:PARTICIPATION
take part in | C:PARTICIPATION
took part in | C:PARTICIPATION
remarks about | C:STATEMENT
opinion | C:STATEMENT
opinions | C:STATEMENT
remarks on | C:STATEMENT
remarks | C:STATEMENT
remark | C:STATEMENT
say | C:STATEMENT
said | C:STATEMENT
speech | C:STATEMENT
comment | C:STATEMENT
comments | C:STATEMENT
commented | C:STATEMENT
propose | C:STATEMENT
proposes | C:STATEMENT
proposed | C:STATEMENT
common ground with | C:STATEMENT
tell | C:STATEMENT
told | C:STATEMENT
tells | C:STATEMENT
claim | C:STATEMENT
claims | C:STATEMENT
claimed | C:STATEMENT
testified | C:STATEMENT
testifies | C:STATEMENT
testify | C:STATEMENT
wants to | C:STATEMENT
wanted to | C:STATEMENT
want to | C:STATEMENT
states that | C:STATEMENT
state that | C:STATEMENT
stated that | C:STATEMENT
consider | C:STATEMENT
considered | C:STATEMENT
considers | C:STATEMENT
support | C:STATEMENT
supported | C:STATEMENT
supports | C:STATEMENT
agree | C:STATEMENT
says | C:STATEMENT
agrees | C:STATEMENT
agreed  | C:STATEMENT
reject | C:STATEMENT
rejects | C:STATEMENT
rejected | C:STATEMENT
recognize | C:STATEMENT
recognizes | C:STATEMENT
recognized | C:STATEMENT
warned | C:STATEMENT
warns | C:STATEMENT
condemned | C:STATEMENT
condemns | C:STATEMENT
agreed | C:STATEMENT
announced | C:STATEMENT
promised | C:STATEMENT
believes | C:STATEMENT
believed | C:STATEMENT
criticized | C:STATEMENT
criticizes | C:STATEMENT
added that | C:STATEMENT
saying that | C:STATEMENT
spoken of | C:STATEMENT
insisted | C:STATEMENT
insists | C:STATEMENT
declares | C:STATEMENT
declared | C:STATEMENT
spoke about | C:STATEMENT
questioned | C:STATEMENT
reported | C:STATEMENT
