'n | SURFACE:'n
'ne | SURFACE:'ne
'nem | SURFACE:'nem
'nen | SURFACE:'nen
'ner | SURFACE:'ner
's | SURFACE:'s
't | SURFACE:'t
c | SURFACE:c
d | SURFACE:d
d.s. | SURFACE:d.s.
de | SURFACE:de
dem | SURFACE:dem
deres | SURFACE:deres
dykk | SURFACE:dykk
dykkar | SURFACE:dykkar
i | SURFACE:i
ii | SURFACE:ii
ii | SURFACE:ii
iii | SURFACE:iii
iii | SURFACE:iii
iv | SURFACE:iv
iv | SURFACE:iv
ix | SURFACE:ix
if | SURFACE:if
l | SURFACE:l
m | SURFACE:m
the | SURFACE:the
the | SURFACE:the
v | SURFACE:v
vi | SURFACE:vi
vi | SURFACE:vi
vii | SURFACE:vii
vii | SURFACE:vii
viii | SURFACE:viii
viii | SURFACE:viii
where | SURFACE:where
x | SURFACE:x
xi | SURFACE:xi
xi | SURFACE:xi
xii | SURFACE:xii
xii | SURFACE:xii
xiii | SURFACE:xiii
xiii | SURFACE:xiii
xiv | SURFACE:xiv
xiv | SURFACE:xiv
xix | SURFACE:xix
xix | SURFACE:xix
xl | SURFACE:xl
xli | SURFACE:xli
xlii | SURFACE:xlii
xliii | SURFACE:xliii
xliv | SURFACE:xliv
xlix | SURFACE:xlix
xlv | SURFACE:xlv
xlvi | SURFACE:xlvi
xlvii | SURFACE:xlvii
xlviii | SURFACE:xlviii
xv | SURFACE:xv
xv | SURFACE:xv
xvi | SURFACE:xvi
xvi | SURFACE:xvi
xvii | SURFACE:xvii
xvii | SURFACE:xvii
xviii | SURFACE:xviii
xviii | SURFACE:xviii
xx | SURFACE:xx
xx | SURFACE:xx
xxi | SURFACE:xxi
xxi | SURFACE:xxi
xxii | SURFACE:xxii
xxii | SURFACE:xxii
xxiii | SURFACE:xxiii
xxiii | SURFACE:xxiii
xxiv | SURFACE:xxiv
xxiv | SURFACE:xxiv
xxix | SURFACE:xxix
xxix | SURFACE:xxix
xxv | SURFACE:xxv
xxv | SURFACE:xxv
xxvi | SURFACE:xxvi
xxvi | SURFACE:xxvi
xxvii | SURFACE:xxvii
xxvii | SURFACE:xxvii
xxviii | SURFACE:xxviii
xxviii | SURFACE:xxviii
xxx | SURFACE:xxx
xxx | SURFACE:xxx
xxxi | SURFACE:xxxi
xxxi | SURFACE:xxxi
xxxii | SURFACE:xxxii
xxxii | SURFACE:xxxii
xxxiii | SURFACE:xxxiii
xxxiii | SURFACE:xxxiii
xxxiv | SURFACE:xxxiv
xxxiv | SURFACE:xxxiv
xxxix | SURFACE:xxxix
xxxix | SURFACE:xxxix
xxxv | SURFACE:xxxv
xxxv | SURFACE:xxxv
xxxvi | SURFACE:xxxvi
xxxvi | SURFACE:xxxvi
xxxvii | SURFACE:xxxvii
xxxvii | SURFACE:xxxvii
xxxviii | SURFACE:xxxviii
xxxviii | SURFACE:xxxviii
a | SURFACE:a
a | SURFACE:a
a | SURFACE:a
a's | SURFACE:a's
a_couple_of | SURFACE:a_couple_of
a_la | SURFACE:a_la
a_priori | SURFACE:a_priori
aamen | SURFACE:aamen
aameneksi | SURFACE:aameneksi
aamenen | SURFACE:aamenen
aamenena | SURFACE:aamenena
aamenhan | SURFACE:aamenhan
aamenkaan | SURFACE:aamenkaan
aamenkin | SURFACE:aamenkin
aamenko | SURFACE:aamenko
aamenpa | SURFACE:aamenpa
aamenta | SURFACE:aamenta
aan | SURFACE:aan
aaneen | SURFACE:aaneen
aangaande | SURFACE:aangaande
aangezien | SURFACE:aangezien
aanstaande | SURFACE:aanstaande
aanstonds | SURFACE:aanstonds
aardigjes | SURFACE:aardigjes
ab | SURFACE:ab
abaixo | SURFACE:abaixo
abbi | SURFACE:abbi
abbia | SURFACE:abbia
abbiamo | SURFACE:abbiamo
abbiano | SURFACE:abbiano
abbiate | SURFACE:abbiate
aber | SURFACE:aber
able | SURFACE:able
able | SURFACE:able
about | SURFACE:about
about | SURFACE:about
above | SURFACE:above
above | SURFACE:above
above_all | SURFACE:above_all
abovementioned_resolution | SURFACE:abovementioned_resolution
abril | SURFACE:abril
abseits | SURFACE:abseits
absolutely | SURFACE:absolutely
absoluut | SURFACE:absoluut
abst | SURFACE:abst
abst | SURFACE:abst
abst | SURFACE:abst
abst | SURFACE:abst
abzüglich | SURFACE:abzüglich
accept | SURFACE:accept
accepted | SURFACE:accepted
accidenti | SURFACE:accidenti
acciocché | SURFACE:acciocché
accipicchia | SURFACE:accipicchia
acción | SURFACE:acción
accord_to | SURFACE:accord_to
accordance | SURFACE:accordance
accordance | SURFACE:accordance
accordance | SURFACE:accordance
according | SURFACE:according
according | SURFACE:according
accordingly | SURFACE:accordingly
accordingly | SURFACE:accordingly
account_for | SURFACE:account_for
aceptar | SURFACE:aceptar
acerca | SURFACE:acerca
ach | SURFACE:ach
achieve_the_objective | SURFACE:achieve_the_objective
acht | SURFACE:acht
achte | SURFACE:achte
achtem | SURFACE:achtem
achten | SURFACE:achten
achter | SURFACE:achter
achteraan | SURFACE:achteraan
achteraf | SURFACE:achteraf
achtereen | SURFACE:achtereen
achtereenvolgens | SURFACE:achtereenvolgens
achteren | SURFACE:achteren
achterheen | SURFACE:achterheen
achterin | SURFACE:achterin
achterlei | SURFACE:achterlei
achterna | SURFACE:achterna
achterom | SURFACE:achterom
achterop | SURFACE:achterop
achterover | SURFACE:achterover
achterstevoren | SURFACE:achterstevoren
achteruit | SURFACE:achteruit
achterwege | SURFACE:achterwege
achtes | SURFACE:achtes
achttien | SURFACE:achttien
achtundachtzig | SURFACE:achtundachtzig
achtundachtzigste | SURFACE:achtundachtzigste
achtundachtzigstem | SURFACE:achtundachtzigstem
achtundachtzigsten | SURFACE:achtundachtzigsten
achtundachtzigster | SURFACE:achtundachtzigster
achtundachtzigstes | SURFACE:achtundachtzigstes
achtunddreißig | SURFACE:achtunddreißig
achtunddreißigste | SURFACE:achtunddreißigste
achtunddreißigstem | SURFACE:achtunddreißigstem
achtunddreißigsten | SURFACE:achtunddreißigsten
achtunddreißigster | SURFACE:achtunddreißigster
achtunddreißigstes | SURFACE:achtunddreißigstes
achtundfünfzig | SURFACE:achtundfünfzig
achtundfünfzigste | SURFACE:achtundfünfzigste
achtundfünfzigstem | SURFACE:achtundfünfzigstem
achtundfünfzigsten | SURFACE:achtundfünfzigsten
achtundfünfzigster | SURFACE:achtundfünfzigster
achtundfünfzigstes | SURFACE:achtundfünfzigstes
achtundneunzig | SURFACE:achtundneunzig
achtundneunzigste | SURFACE:achtundneunzigste
achtundneunzigstem | SURFACE:achtundneunzigstem
achtundneunzigsten | SURFACE:achtundneunzigsten
achtundneunzigster | SURFACE:achtundneunzigster
achtundneunzigstes | SURFACE:achtundneunzigstes
achtundsechzig | SURFACE:achtundsechzig
achtundsechzigste | SURFACE:achtundsechzigste
achtundsechzigstem | SURFACE:achtundsechzigstem
achtundsechzigsten | SURFACE:achtundsechzigsten
achtundsechzigster | SURFACE:achtundsechzigster
achtundsechzigstes | SURFACE:achtundsechzigstes
achtundsiebzig | SURFACE:achtundsiebzig
achtundsiebzigste | SURFACE:achtundsiebzigste
achtundsiebzigstem | SURFACE:achtundsiebzigstem
achtundsiebzigsten | SURFACE:achtundsiebzigsten
achtundsiebzigster | SURFACE:achtundsiebzigster
achtundsiebzigstes | SURFACE:achtundsiebzigstes
achtundvierzig | SURFACE:achtundvierzig
achtundvierzigste | SURFACE:achtundvierzigste
achtundvierzigstem | SURFACE:achtundvierzigstem
achtundvierzigsten | SURFACE:achtundvierzigsten
achtundvierzigster | SURFACE:achtundvierzigster
achtundvierzigstes | SURFACE:achtundvierzigstes
achtundzwanzig | SURFACE:achtundzwanzig
achtundzwanzigste | SURFACE:achtundzwanzigste
achtundzwanzigstem | SURFACE:achtundzwanzigstem
achtundzwanzigsten | SURFACE:achtundzwanzigsten
achtundzwanzigster | SURFACE:achtundzwanzigster
achtundzwanzigstes | SURFACE:achtundzwanzigstes
achtzehn | SURFACE:achtzehn
achtzehnte | SURFACE:achtzehnte
achtzehntem | SURFACE:achtzehntem
achtzehnten | SURFACE:achtzehnten
achtzehnter | SURFACE:achtzehnter
achtzehntes | SURFACE:achtzehntes
achtzig | SURFACE:achtzig
achtzigste | SURFACE:achtzigste
achtzigstem | SURFACE:achtzigstem
achtzigsten | SURFACE:achtzigsten
achtzigster | SURFACE:achtzigster
achtzigstes | SURFACE:achtzigstes
acima | SURFACE:acima
ack | SURFACE:ack
acoger | SURFACE:acoger
acoger_con_satisfacción | SURFACE:acoger_con_satisfacción
across | SURFACE:across
across | SURFACE:across
act | SURFACE:act
act | SURFACE:act
act_as | SURFACE:act_as
action | SURFACE:action
action_take | SURFACE:action_take
actions | SURFACE:actions
active | SURFACE:active
actividad | SURFACE:actividad
activities | SURFACE:activities
activity | SURFACE:activity
acto_jurídico_preparatorio | SURFACE:acto_jurídico_preparatorio
acts | SURFACE:acts
actually | SURFACE:actually
actually | SURFACE:actually
acuerdo | SURFACE:acuerdo
ad_hoc | SURFACE:ad_hoc
add | SURFACE:add
add_to | SURFACE:add_to
add_to_article | SURFACE:add_to_article
added | SURFACE:added
added | SURFACE:added
addition | SURFACE:addition
additional | SURFACE:additional
additional_protocol | SURFACE:additional_protocol
additions | SURFACE:additions
address | SURFACE:address
address_to | SURFACE:address_to
adelantar | SURFACE:adelantar
además | SURFACE:además
adequate | SURFACE:adequate
aderton | SURFACE:aderton
adertonde | SURFACE:adertonde
adeusinho | SURFACE:adeusinho
adiante | SURFACE:adiante
adieu | SURFACE:adieu
adieu | SURFACE:adieu
adj | SURFACE:adj
adj | SURFACE:adj
adjö | SURFACE:adjö
adjø | SURFACE:adjø
administrative | SURFACE:administrative
adopción_de_una_directivo | SURFACE:adopción_de_una_directivo
adopt | SURFACE:adopt
adopt_by_the_commission | SURFACE:adopt_by_the_commission
adopt_by_the_council | SURFACE:adopt_by_the_council
adopt_in_accordance_with_article | SURFACE:adopt_in_accordance_with_article
adopt_in_accordance_with_the_procedure | SURFACE:adopt_in_accordance_with_the_procedure
adopt_this_directive | SURFACE:adopt_this_directive
adopt_this_regulation | SURFACE:adopt_this_regulation
adoptar | SURFACE:adoptar
adoptar_de_conformidad | SURFACE:adoptar_de_conformidad
adoptar_definitivamente | SURFACE:adoptar_definitivamente
adoptar_las_medida | SURFACE:adoptar_las_medida
adoptar_las_medida_necesario | SURFACE:adoptar_las_medida_necesario
adoptar_medida | SURFACE:adoptar_medida
adoptar_por_el_consejo | SURFACE:adoptar_por_el_consejo
adoptar_un_programa | SURFACE:adoptar_un_programa
adopted | SURFACE:adopted
adopted | SURFACE:adopted
adoption_of_a_directive | SURFACE:adoption_of_a_directive
advertir | SURFACE:advertir
af | SURFACE:af
affect | SURFACE:affect
affected | SURFACE:affected
affected | SURFACE:affected
affecting | SURFACE:affecting
affecting | SURFACE:affecting
affects | SURFACE:affects
affects | SURFACE:affects
affiliate_to | SURFACE:affiliate_to
affinché | SURFACE:affinché
afijn | SURFACE:afijn
afin | SURFACE:afin
afirmativo | SURFACE:afirmativo
after | SURFACE:after
after | SURFACE:after
afterwards | SURFACE:afterwards
afterwards | SURFACE:afterwards
again | SURFACE:again
again | SURFACE:again
against | SURFACE:against
against | SURFACE:against
agli | SURFACE:agli
ago | SURFACE:ago
agora | SURFACE:agora
agree | SURFACE:agree
agreed | SURFACE:agreed
agreement | SURFACE:agreement
agreements | SURFACE:agreements
ah | SURFACE:ah
ah | SURFACE:ah
aha | SURFACE:aha
ahi | SURFACE:ahi
ahimè | SURFACE:ahimè
ahoi | SURFACE:ahoi
ahora | SURFACE:ahora
ai | SURFACE:ai
ai | SURFACE:ai
ai-ai | SURFACE:ai-ai
ai-jesus | SURFACE:ai-jesus
aie | SURFACE:aie
aient | SURFACE:aient
aies | SURFACE:aies
aim | SURFACE:aim
aim_at | SURFACE:aim_at
aim_for | SURFACE:aim_for
aim_to | SURFACE:aim_to
aims | SURFACE:aims
ain't | SURFACE:ain't
ait | SURFACE:ait
ajei | SURFACE:ajei
ajöss | SURFACE:ajöss
ak | SURFACE:ak
akk | SURFACE:akk
aktenfor | SURFACE:aktenfor
aktenom | SURFACE:aktenom
akterover | SURFACE:akterover
al | SURFACE:al
al. | SURFACE:al.
alalà | SURFACE:alalà
alcun | SURFACE:alcun
alcuna | SURFACE:alcuna
alcunché | SURFACE:alcunché
alcune | SURFACE:alcune
alcuni | SURFACE:alcuni
alcuno | SURFACE:alcuno
aldaar | SURFACE:aldaar
aldoor | SURFACE:aldoor
aldra | SURFACE:aldra
aldrig | SURFACE:aldrig
aldus | SURFACE:aldus
aleer | SURFACE:aleer
alerte | SURFACE:alerte
algo | SURFACE:algo
algum | SURFACE:algum
alguma | SURFACE:alguma
algumas | SURFACE:algumas
algunas | SURFACE:algunas
algunos | SURFACE:algunos
alguns | SURFACE:alguns
alguém | SURFACE:alguém
algún | SURFACE:algún
alhier | SURFACE:alhier
alhoewel | SURFACE:alhoewel
ali | SURFACE:ali
alitse | SURFACE:alitse
all | SURFACE:all
all | SURFACE:all
all_of | SURFACE:all_of
all_over | SURFACE:all_over
all_the | SURFACE:all_the
alla | SURFACE:alla
allaan | SURFACE:allaan
allahan | SURFACE:allahan
allakaan | SURFACE:allakaan
allakin | SURFACE:allakin
allako | SURFACE:allako
allamme | SURFACE:allamme
allang | SURFACE:allang
allani | SURFACE:allani
allanne | SURFACE:allanne
allansa | SURFACE:allansa
allapa | SURFACE:allapa
allar | SURFACE:allar
allasi | SURFACE:allasi
alldem | SURFACE:alldem
alldieweil | SURFACE:alldieweil
alle | SURFACE:alle
allebei | SURFACE:allebei
allebeide | SURFACE:allebeide
alledag | SURFACE:alledag
alledem | SURFACE:alledem
allee | SURFACE:allee
alleen | SURFACE:alleen
allegaar | SURFACE:allegaar
allehan | SURFACE:allehan
allein | SURFACE:allein
allekaan | SURFACE:allekaan
allekin | SURFACE:allekin
alleko | SURFACE:alleko
alleluja | SURFACE:alleluja
allem | SURFACE:allem
allemaal | SURFACE:allemaal
allemme | SURFACE:allemme
allen | SURFACE:allen
allengs | SURFACE:allengs
alleni | SURFACE:alleni
allenne | SURFACE:allenne
allensa | SURFACE:allensa
allepa | SURFACE:allepa
aller | SURFACE:aller
allerlei | SURFACE:allerlei
allerwegen | SURFACE:allerwegen
alles | SURFACE:alles
allesamman | SURFACE:allesamman
allesammans | SURFACE:allesammans
allesbehalve | SURFACE:allesbehalve
allesi | SURFACE:allesi
alleszins | SURFACE:alleszins
allicht | SURFACE:allicht
allihop | SURFACE:allihop
allihopa | SURFACE:allihopa
allo | SURFACE:allo
allom | SURFACE:allom
allorché | SURFACE:allorché
allorquando | SURFACE:allorquando
allow | SURFACE:allow
allow | SURFACE:allow
allows | SURFACE:allows
alls | SURFACE:alls
allt | SURFACE:allt
allteftersom | SURFACE:allteftersom
alltfler | SURFACE:alltfler
alltihop | SURFACE:alltihop
allting | SURFACE:allting
